Frame,Time (Seconds),LFoot:Rotation:X,LFoot:Rotation:Y,LFoot:Rotation:Z,LFoot:Rotation:W,LFoot:Position:X,LFoot:Position:Y,LFoot:Position:Z,RFoot:Rotation:X,RFoot:Rotation:Y,RFoot:Rotation:Z,RFoot:Rotation:W,RFoot:Position:X,RFoot:Position:Y,RFoot:Position:Z,Waist:Rotation:X,Waist:Rotation:Y,Waist:Rotation:Z,Waist:Rotation:W,Waist:Position:X,Waist:Position:Y,Waist:Position:Z
0,0.000000,0.005052,0.037261,-0.986347,-0.160333,1.782136,-1.234578,0.004278,-0.022902,-0.036844,0.894860,0.444233,1.964660,-1.014098,0.010134,-0.049829,-0.002250,0.984072,0.170630,1.888361,-1.144788,0.926813
1,0.004167,0.004995,0.037343,-0.986339,-0.160359,1.782140,-1.234591,0.004279,-0.022945,-0.036878,0.894862,0.444225,1.964668,-1.014097,0.010135,-0.049640,-0.002037,0.984152,0.170223,1.888248,-1.144806,0.926760
2,0.008333,0.004896,0.037442,-0.986330,-0.160398,1.782143,-1.234600,0.004278,-0.022939,-0.036844,0.894868,0.444215,1.964669,-1.014089,0.010143,-0.049489,-0.001964,0.984238,0.169774,1.888096,-1.144822,0.926708
3,0.012500,0.004826,0.037582,-0.986322,-0.160414,1.782140,-1.234610,0.004264,-0.022905,-0.036810,0.894871,0.444213,1.964680,-1.014074,0.010138,-0.049277,-0.001728,0.984315,0.169390,1.887952,-1.144830,0.926657
4,0.016667,0.004814,0.037562,-0.986311,-0.160487,1.782145,-1.234623,0.004262,-0.022914,-0.036804,0.894862,0.444232,1.964674,-1.014075,0.010141,-0.049201,-0.001655,0.984406,0.168881,1.887787,-1.144825,0.926612
5,0.020833,0.004744,0.037607,-0.986296,-0.160569,1.782147,-1.234629,0.004268,-0.022895,-0.036850,0.894855,0.444243,1.964677,-1.014085,0.010149,-0.047405,0.001310,0.984376,0.169573,1.887278,-1.144726,0.926972
6,0.025000,0.004654,0.037730,-0.986292,-0.160571,1.782129,-1.234638,0.004281,-0.022905,-0.036915,0.894825,0.444297,1.964695,-1.014079,0.010148,-0.047167,0.001462,0.984463,0.169134,1.887094,-1.144709,0.926930
7,0.029167,0.004700,0.037743,-0.986286,-0.160603,1.782119,-1.234639,0.004276,-0.022915,-0.036896,0.894826,0.444298,1.964708,-1.014071,0.010152,-0.046673,0.005960,0.984127,0.171112,1.887419,-1.144560,0.926657
8,0.033333,0.004725,0.037576,-0.986280,-0.160680,1.782143,-1.234638,0.004269,-0.022915,-0.036892,0.894833,0.444284,1.964714,-1.014067,0.010143,-0.046595,0.006127,0.984204,0.170686,1.887298,-1.144584,0.926611
9,0.037500,0.004669,0.037454,-0.986272,-0.160755,1.782146,-1.234654,0.004267,-0.022824,-0.036823,0.894845,0.444269,1.964700,-1.014064,0.010139,-0.046716,0.006204,0.984272,0.170256,1.887220,-1.144640,0.926530
10,0.041667,0.004654,0.037494,-0.986262,-0.160810,1.782151,-1.234650,0.004265,-0.022865,-0.036854,0.894821,0.444313,1.964711,-1.014059,0.010142,-0.046864,0.006293,0.984333,0.169859,1.887136,-1.144680,0.926470
11,0.045833,0.004642,0.037502,-0.986252,-0.160871,1.782157,-1.234650,0.004260,-0.022753,-0.036804,0.894814,0.444336,1.964712,-1.014048,0.010137,-0.048267,0.003181,0.984488,0.168650,1.887421,-1.144913,0.926110
12,0.050000,0.004679,0.037316,-0.986255,-0.160893,1.782150,-1.234650,0.004265,-0.022827,-0.036847,0.894817,0.444324,1.964712,-1.014054,0.010135,-0.048731,0.002206,0.984550,0.168172,1.887438,-1.144995,0.926063
13,0.054167,0.004686,0.037182,-0.986250,-0.160958,1.782158,-1.234652,0.004259,-0.022808,-0.036741,0.894831,0.444305,1.964726,-1.014056,0.010131,-0.049515,0.001869,0.984573,0.167811,1.887304,-1.145013,0.926120
14,0.058333,0.004663,0.037150,-0.986232,-0.161072,1.782160,-1.234652,0.004265,-0.022830,-0.036765,0.894838,0.444289,1.964731,-1.014058,0.010131,-0.049923,0.001198,0.984594,0.167576,1.887268,-1.145115,0.926131
15,0.062500,0.004673,0.037212,-0.986230,-0.161071,1.782157,-1.234646,0.004272,-0.022727,-0.036650,0.894811,0.444357,1.964726,-1.014055,0.010135,-0.050380,0.000591,0.984601,0.167401,1.887226,-1.145191,0.926154
16,0.066667,0.004620,0.037463,-0.986223,-0.161060,1.782139,-1.234657,0.004292,-0.022739,-0.036669,0.894795,0.444388,1.964732,-1.014045,0.010132,-0.050786,-0.000182,0.984600,0.167281,1.887204,-1.145293,0.926143
17,0.070833,0.004607,0.037475,-0.986210,-0.161133,1.782144,-1.234662,0.004282,-0.022623,-0.036589,0.894787,0.444416,1.964725,-1.014037,0.010118,-0.051338,-0.000706,0.984604,0.167088,1.887191,-1.145370,0.926142
18,0.075000,0.004522,0.037551,-0.986203,-0.161162,1.782140,-1.234665,0.004287,-0.022639,-0.036588,0.894805,0.444379,1.964721,-1.014039,0.010105,-0.051714,-0.001186,0.984605,0.166967,1.887164,-1.145439,0.926147
19,0.079167,0.004557,0.037331,-0.986197,-0.161251,1.782160,-1.234676,0.004280,-0.022582,-0.036506,0.894783,0.444433,1.964722,-1.014040,0.010105,-0.052027,-0.001695,0.984608,0.166846,1.887137,-1.145515,0.926131
20,0.083333,0.004551,0.037483,-0.986193,-0.161238,1.782142,-1.234677,0.004297,-0.022528,-0.036452,0.894778,0.444450,1.964730,-1.014043,0.010104,-0.052592,-0.001630,0.984613,0.166641,1.887047,-1.145525,0.926149
21,0.087500,0.004598,0.037267,-0.986186,-0.161328,1.782168,-1.234689,0.004284,-0.022529,-0.036450,0.894781,0.444445,1.964747,-1.014036,0.010110,-0.053020,-0.001466,0.984616,0.166485,1.886969,-1.145524,0.926156
22,0.091667,0.004582,0.037367,-0.986185,-0.161312,1.782142,-1.234688,0.004290,-0.022468,-0.036427,0.894779,0.444454,1.964754,-1.014029,0.010109,-0.053190,-0.001938,0.984663,0.166151,1.886953,-1.145564,0.926096
23,0.095833,0.004594,0.037239,-0.986174,-0.161410,1.782172,-1.234688,0.004277,-0.022485,-0.036433,0.894777,0.444455,1.964763,-1.014024,0.010109,-0.053482,-0.001483,0.984659,0.166084,1.886831,-1.145559,0.926089
24,0.100000,0.004525,0.037490,-0.986168,-0.161392,1.782153,-1.234690,0.004298,-0.022381,-0.036380,0.894773,0.444475,1.964772,-1.014023,0.010113,-0.053574,-0.001783,0.984720,0.165693,1.886744,-1.145560,0.926042
25,0.104167,0.004573,0.037410,-0.986178,-0.161347,1.782137,-1.234698,0.004296,-0.022398,-0.036384,0.894780,0.444458,1.964775,-1.014020,0.010108,-0.053706,-0.001681,0.984759,0.165416,1.886650,-1.145566,0.925988
26,0.108333,0.004638,0.037126,-0.986171,-0.161450,1.782175,-1.234694,0.004278,-0.022345,-0.036316,0.894784,0.444458,1.964775,-1.014016,0.010102,-0.053774,-0.001663,0.984787,0.165230,1.886504,-1.145573,0.925934
27,0.112500,0.004657,0.037205,-0.986178,-0.161393,1.782146,-1.234688,0.004291,-0.022366,-0.036340,0.894760,0.444504,1.964792,-1.014013,0.010107,-0.053743,-0.001468,0.984838,0.164937,1.886342,-1.145545,0.925915
28,0.116667,0.004659,0.037296,-0.986179,-0.161362,1.782138,-1.234688,0.004293,-0.022275,-0.036270,0.894769,0.444496,1.964787,-1.014012,0.010095,-0.054003,-0.001520,0.984890,0.164542,1.886120,-1.145470,0.925897
29,0.120833,0.004671,0.037457,-0.986171,-0.161377,1.782132,-1.234687,0.004291,-0.022267,-0.036257,0.894760,0.444515,1.964801,-1.014012,0.010091,-0.053975,-0.001507,0.984945,0.164219,1.885965,-1.145451,0.925830
